"","C245PW0","childid"
"2368",235.03,"0162004C"
"2369",234.27,"0162005C"
"2370",0,"0162006C"
"2371",268.37,"0162007C"
"2372",221.15,"0162008C"
"2373",229.4,"0162009C"
"2374",220.41,"0162010C"
"2375",0,"0162012C"
"2376",0,"0162013C"
"2377",229.4,"0162015C"
"2378",228.86,"0162016C"
"2379",290.85,"0162017C"
"2380",230.82,"0162019C"
"2381",228.86,"0162020C"
"2382",0,"0162021C"
"2383",221.15,"0162022C"
"2384",1038.69,"0162023C"
"2385",234.27,"0162024C"
"2386",NA,"0162040C"
"2387",NA,"0162041C"
"2388",690.27,"0164001C"
"2389",552.52,"0164002C"
"2390",190.46,"0164003C"
"2391",0,"0164004C"
"2392",NA,"0164005C"
"2393",0,"0164006C"
"2394",0,"0164007C"
"2395",NA,"0164008C"
"2396",0,"0164009C"
"2397",0,"0164010C"
"2398",0,"0164012C"
"2399",0,"0164013C"
"2400",0,"0164014C"
"2401",0,"0164015C"
"2402",0,"0164016C"
"2403",263.21,"0164017C"
"2404",0,"0164018C"
"2405",0,"0164019C"
"2406",0,"0164020C"
"2407",0,"0164021C"
"2408",189.84,"0164022C"
"2409",0,"0164023C"
"2410",0,"0164024C"
"2411",NA,"0164040C"
"2412",NA,"0164041C"
"2413",317.4,"0167005C"
"2414",287.65,"0167006C"
"2415",277.03,"0167007C"
"2416",0,"0167008C"
"2417",352.11,"0167009C"
"2418",314.16,"0167010C"
"2419",322.26,"0167011C"
"2420",NA,"0167013C"
"2421",NA,"0167014C"
"2422",0,"0167015C"
"2423",320.83,"0167016C"
"2424",0,"0167018C"
"2425",277.03,"0167020C"
"2426",NA,"0167021C"
"2427",NA,"0167022C"
"2428",NA,"0167023C"
"2429",0,"0167024C"
"2430",NA,"0168001C"
"2431",NA,"0168002C"
"2432",258.52,"0168003C"
"2433",298.91,"0168004C"
"2434",NA,"0168005C"
"2435",251.73,"0168006C"
"2436",284.34,"0168007C"
"2437",383.13,"0168008C"
"2438",456.72,"0168009C"
"2439",252.33,"0168010C"
"2440",258.58,"0168011C"
"2441",NA,"0168012C"
"2442",661.52,"0168013C"
"2443",292.72,"0168014C"
"2444",459.38,"0168016C"
"2445",0,"0168017C"
"2446",383.13,"0168018C"
"2447",257.69,"0168019C"
"2448",285.26,"0168021C"
"2449",394.43,"0168022C"
"2450",326.72,"0168023C"
"2451",295.2,"0168024C"
"2452",119.79,"0169001C"
"2453",0,"0169002C"
"2454",0,"0169003C"
"2455",317.15,"0169005C"
"2456",0,"0169006C"
"2457",301.13,"0169007C"
"2458",766.4,"0169008C"
"2459",981.48,"0169009C"
"2460",232.08,"0169010C"
"2461",0,"0169011C"
"2462",0,"0169012C"
"2463",825.17,"0169013C"
"2464",0,"0169014C"
"2465",0,"0169015C"
"2466",842.69,"0169016C"
"2467",0,"0169017C"
"2468",854.82,"0169018C"
"2469",0,"0169019C"
"2470",353.14,"0169020C"
"2471",0,"0169021C"
"2472",220.85,"0169022C"
"2473",739.62,"0169023C"
"2474",362.98,"0169024C"
"2475",178.81,"0170001C"
"2476",NA,"0170002C"
"2477",217.64,"0170003C"
"2478",0,"0170004C"
"2479",0,"0170005C"
"2480",0,"0170006C"
"2481",NA,"0170008C"
"2482",236.98,"0170009C"
"2483",NA,"0170010C"
"2484",NA,"0170011C"
"2485",NA,"0170012C"
"2486",NA,"0170013C"
"2487",NA,"0170014C"
"2488",0,"0170015C"
"2489",296.82,"0170016C"
"2490",NA,"0170017C"
"2491",NA,"0170018C"
"2492",0,"0170019C"
"2493",NA,"0170021C"
"2494",NA,"0170022C"
"2495",NA,"0170023C"
"2496",NA,"0170024C"
"2497",0,"0171001C"
"2498",721.52,"0171002C"
"2499",223.29,"0171004C"
"2500",231.52,"0171005C"
"2501",308.22,"0171006C"
"2502",239.74,"0171008C"
"2503",0,"0171009C"
"2504",731.32,"0171010C"
"2505",0,"0171011C"
"2506",820.51,"0171012C"
"2507",0,"0171013C"
"2508",0,"0171014C"
"2509",190.41,"0171015C"
"2510",234.76,"0171016C"
"2511",355.94,"0171017C"
"2512",354.79,"0171019C"
"2513",1088.08,"0171020C"
"2514",231.52,"0171022C"
"2515",735.58,"0171023C"
"2516",228.77,"0171024C"
"2517",0,"0171025C"
"2518",0,"0174001C"
"2519",NA,"0174002C"
"2520",NA,"0174003C"
"2521",602.74,"0174004C"
"2522",116.56,"0174005C"
"2523",178.95,"0174006C"
"2524",0,"0174007C"
"2525",0,"0174008C"
"2526",602.74,"0174009C"
"2527",178.95,"0174010C"
"2528",179.53,"0174011C"
"2529",602.74,"0174012C"
"2530",130.04,"0174014C"
"2531",166.74,"0174015C"
"2532",0,"0174016C"
"2533",362.16,"0174017C"
"2534",179.53,"0174018C"
"2535",0,"0174019C"
"2536",0,"0174020C"
"2537",0,"0174021C"
"2538",175.22,"0174022C"
"2539",419.49,"0174023C"
"2540",0,"0174024C"
"2541",49.35,"0175001C"
"2542",95.91,"0175002C"
"2543",101.92,"0175004C"
"2544",0,"0175005C"
"2545",122.76,"0175006C"
"2546",0,"0175007C"
"2547",117.99,"0175008C"
"2548",275.95,"0175009C"
"2549",93.91,"0175011C"
"2550",93.91,"0175012C"
"2551",152.48,"0175013C"
"2552",118.24,"0175014C"
"2553",0,"0175015C"
"2554",112.46,"0175016C"
"2555",101.92,"0175017C"
"2556",95.91,"0175018C"
"2557",95.91,"0175019C"
"2558",168.25,"0175020C"
"2559",93.91,"0175021C"
"2560",93.91,"0175022C"
"2561",112.83,"0175023C"
"2562",93.91,"0175024C"
"2563",117.99,"0175025C"
"2564",263.58,"0176001C"
"2565",263.58,"0176002C"
"2566",311.27,"0176003C"
"2567",NA,"0176004C"
"2568",269.17,"0176005C"
"2569",292.62,"0176006C"
"2570",0,"0176007C"
"2571",NA,"0176008C"
"2572",385.45,"0176009C"
"2573",269.17,"0176010C"
"2574",NA,"0176011C"
"2575",263.58,"0176012C"
"2576",317.84,"0176013C"
"2577",286.06,"0176014C"
"2578",0,"0176015C"
"2579",309.08,"0176017C"
"2580",269.17,"0176018C"
"2581",309.08,"0176019C"
"2582",376.55,"0176020C"
"2583",315.65,"0176022C"
"2584",263.58,"0176023C"
"2585",280.11,"0176024C"
"2586",376.55,"0176025C"
"2587",303.13,"0177001C"
"2588",0,"0177002C"
"2589",383.31,"0177003C"
"2590",285.24,"0177004C"
"2591",0,"0177005C"
"2592",347.56,"0177006C"
"2593",0,"0177007C"
"2594",285.24,"0177008C"
"2595",291.29,"0177009C"
"2596",0,"0177010C"
"2597",285.24,"0177011C"
"2598",291.29,"0177012C"
"2599",251.97,"0177013C"
"2600",292.24,"0177014C"
"2601",116.31,"0178001C"
"2602",81.65,"0178002C"
"2603",83.66,"0178003C"
"2604",81.46,"0178004C"
"2605",81.65,"0178005C"
"2606",100.89,"0178006C"
"2607",NA,"0178007C"
"2608",83.66,"0178008C"
"2609",NA,"0178009C"
"2610",78.72,"0178010C"
"2611",NA,"0178012C"
"2612",76.83,"0178013C"
"2613",78.46,"0178014C"
"2614",83.18,"0178015C"
"2615",NA,"0178016C"
"2616",92.31,"0178017C"
"2617",NA,"0178018C"
"2618",86.57,"0178019C"
"2619",92.01,"0178020C"
"2620",NA,"0178021C"
"2621",NA,"0178022C"
"2622",NA,"0178023C"
"2623",90.1,"0178024C"
"2624",NA,"0178025C"
"2625",NA,"0179001C"
"2626",NA,"0179003C"
"2627",NA,"0179004C"
"2628",NA,"0179005C"
"2629",NA,"0179006C"
"2630",NA,"0179007C"
"2631",NA,"0179008C"
"2632",NA,"0179009C"
"2633",NA,"0179011C"
"2634",NA,"0179012C"
"2635",NA,"0179013C"
"2636",92.84,"0179014C"
"2637",NA,"0179015C"
"2638",NA,"0179017C"
"2639",NA,"0179018C"
"2640",NA,"0179019C"
"2641",NA,"0179020C"
"2642",NA,"0179021C"
"2643",92.84,"0179022C"
"2644",NA,"0179023C"
"2645",269.38,"0180001C"
"2646",87.64,"0180002C"
"2647",197.93,"0180003C"
"2648",0,"0180004C"
"2649",207.64,"0180006C"
"2650",193.82,"0180008C"
"2651",175.65,"0180010C"
"2652",0,"0180011C"
"2653",198.57,"0180013C"
"2654",0,"0180014C"
"2655",280.4,"0180015C"
"2656",193.82,"0180016C"
"2657",673.46,"0180017C"
"2658",0,"0180018C"
"2659",258.94,"0180019C"
"2660",291.31,"0180020C"
"2661",175.65,"0180021C"
"2662",179.38,"0180022C"
"2663",750.13,"0180023C"
"2664",198.57,"0180024C"
"2665",NA,"0183001C"
"2666",0,"0183002C"
"2667",NA,"0183003C"
"2668",98.9,"0183004C"
"2669",0,"0183005C"
"2670",0,"0183006C"
"2671",NA,"0183007C"
"2672",0,"0183008C"
"2673",213.72,"0183009C"
"2674",NA,"0183011C"
"2675",0,"0183012C"
"2676",154.52,"0183013C"
"2677",0,"0183014C"
"2678",296.36,"0183015C"
"2679",NA,"0183016C"
"2680",325.41,"0183017C"
"2681",285.63,"0183018C"
"2682",186.32,"0183019C"
"2683",255.38,"0183020C"
"2684",192.85,"0183021C"
"2685",NA,"0183022C"
"2686",279.02,"0183024C"
"2687",119.51,"0184001C"
"2688",0,"0184002C"
"2689",843.33,"0184003C"
"2690",819.17,"0184005C"
"2691",180.49,"0184006C"
"2692",250.37,"0184007C"
"2693",185.81,"0184008C"
"2694",742.39,"0184011C"
"2695",726.95,"0184012C"
"2696",0,"0184013C"
"2697",228.82,"0184014C"
"2698",770.75,"0184015C"
"2699",243.99,"0184016C"
"2700",0,"0184017C"
"2701",NA,"0184019C"
"2702",818.18,"0184020C"
"2703",193.45,"0184021C"
"2704",267.59,"0184022C"
"2705",697.11,"0184023C"
"2706",770.75,"0184025C"
"2707",NA,"0184040C"
"2708",NA,"0185001C"
"2709",NA,"0185002C"
"2710",292.44,"0185003C"
"2711",170.34,"0185004C"
"2712",NA,"0185005C"
"2713",237.54,"0185006C"
"2714",197.61,"0185007C"
"2715",NA,"0185008C"
"2716",276.44,"0185009C"
"2717",NA,"0185010C"
"2718",NA,"0185011C"
"2719",NA,"0185012C"
"2720",NA,"0185013C"
"2721",NA,"0185014C"
"2722",NA,"0185015C"
"2723",260.73,"0185016C"
"2724",NA,"0185017C"
"2725",NA,"0185018C"
"2726",NA,"0185019C"
"2727",NA,"0185020C"
"2728",NA,"0185021C"
"2729",NA,"0185022C"
"2730",NA,"0185023C"
"2731",NA,"0185024C"
"2732",NA,"0185025C"
"2733",212.52,"0185026C"
"2734",197.59,"0185027C"
"2735",99.49,"0187001C"
"2736",NA,"0187002C"
"2737",0,"0187003C"
"2738",NA,"0187004C"
"2739",NA,"0187005C"
"2740",244.27,"0187006C"
"2741",202.75,"0187007C"
"2742",385.87,"0187008C"
"2743",NA,"0187009C"
"2744",345.86,"0187010C"
"2745",209.82,"0187011C"
"2746",190.78,"0187012C"
"2747",244.27,"0187013C"
"2748",0,"0187014C"
"2749",202.08,"0187015C"
"2750",NA,"0187016C"
"2751",NA,"0187017C"
"2752",190.15,"0187018C"
"2753",NA,"0187019C"
"2754",190.17,"0187020C"
"2755",247.24,"0187021C"
"2756",NA,"0187022C"
"2757",NA,"0187024C"
"2758",451.78,"0188001C"
"2759",435.45,"0188002C"
"2760",140.52,"0188003C"
"2761",395.91,"0188004C"
"2762",419.77,"0188005C"
"2763",395.91,"0188006C"
"2764",349.73,"0188007C"
"2765",137.6,"0188008C"
"2766",404.32,"0188009C"
"2767",395.91,"0188010C"
"2768",148.09,"0188011C"
"2769",137.6,"0188012C"
"2770",404.32,"0188013C"
"2771",404.32,"0188014C"
"2772",617.61,"0188015C"
"2773",420.76,"0188016C"
"2774",404.32,"0188017C"
"2775",404.32,"0188018C"
"2776",137.6,"0188019C"
"2777",140.52,"0188020C"
"2778",198.19,"0189001C"
"2779",205.76,"0189002C"
"2780",205.76,"0189003C"
"2781",206.25,"0189004C"
"2782",194.07,"0189005C"
"2783",210.63,"0189006C"
"2784",194.07,"0189007C"
"2785",244.35,"0189008C"
"2786",205.76,"0189009C"
"2787",198.19,"0189010C"
"2788",NA,"0189011C"
"2789",NA,"0189012C"
"2790",247.67,"0189013C"
"2791",232.41,"0189014C"
"2792",NA,"0189015C"
"2793",205.76,"0189016C"
"2794",NA,"0189017C"
"2795",NA,"0189018C"
"2796",194.07,"0189019C"
"2797",218.68,"0189020C"
"2798",217.98,"0189021C"
"2799",NA,"0189022C"
"2800",206.25,"0189023C"
"2801",232.41,"0189024C"
"2802",NA,"0190001C"
"2803",329.67,"0190002C"
"2804",329.67,"0190003C"
"2805",NA,"0190004C"
"2806",281.13,"0190005C"
"2807",406.43,"0190006C"
"2808",476.95,"0190007C"
"2809",281.13,"0190008C"
"2810",NA,"0190009C"
"2811",NA,"0190010C"
"2812",346.6,"0190011C"
"2813",NA,"0190012C"
"2814",287.1,"0190013C"
"2815",NA,"0190014C"
"2816",NA,"0190015C"
"2817",NA,"0190016C"
"2818",0,"0190017C"
"2819",336.67,"0190018C"
"2820",329.67,"0190019C"
"2821",288.03,"0190020C"
"2822",353.97,"0190021C"
"2823",336.67,"0190022C"
"2824",305.12,"0190023C"
"2825",NA,"0190024C"
"2826",353.97,"0190025C"
"2827",0,"0192001C"
"2828",966.19,"0192002C"
"2829",0,"0192003C"
"2830",366.51,"0192004C"
"2831",424.57,"0192005C"
"2832",373.24,"0192006C"
"2833",358.88,"0192007C"
"2834",366.51,"0192008C"
"2835",377.32,"0192009C"
"2836",365.48,"0192010C"
"2837",377.32,"0192012C"
"2838",813.59,"0192013C"
"2839",317.02,"0192014C"
"2840",0,"0192015C"
"2841",377.32,"0192017C"
"2842",316.52,"0192018C"
"2843",385.33,"0192019C"
"2844",1148.39,"0192020C"
"2845",358.88,"0192021C"
"2846",332.15,"0192024C"
"2847",NA,"0194001C"
"2848",NA,"0194002C"
"2849",NA,"0194003C"
"2850",NA,"0194004C"
"2851",NA,"0194005C"
"2852",311.32,"0194006C"
"2853",0,"0194007C"
"2854",NA,"0194008C"
"2855",NA,"0194009C"
"2856",321.47,"0194010C"
"2857",NA,"0194011C"
"2858",263.15,"0194012C"
"2859",224.41,"0194013C"
"2860",434.11,"0194014C"
"2861",NA,"0194015C"
"2862",311.32,"0194016C"
"2863",0,"0194017C"
"2864",NA,"0194018C"
"2865",NA,"0194019C"
"2866",NA,"0194020C"
"2867",NA,"0194021C"
"2868",NA,"0194022C"
"2869",NA,"0194023C"
"2870",NA,"0194024C"
"2871",NA,"0195001C"
"2872",831.76,"0195002C"
"2873",831.76,"0195003C"
"2874",286.08,"0195004C"
"2875",247.74,"0195005C"
"2876",702.06,"0195006C"
"2877",0,"0195007C"
"2878",0,"0195008C"
"2879",863.53,"0195009C"
"2880",0,"0195010C"
"2881",711.05,"0195011C"
"2882",963.61,"0195012C"
"2883",254.99,"0195013C"
"2884",212.86,"0195014C"
"2885",0,"0195015C"
"2886",174.31,"0195016C"
"2887",858.86,"0195017C"
"2888",1000.42,"0195018C"
"2889",814.46,"0195019C"
"2890",183.26,"0195020C"
"2891",174.88,"0195021C"
"2892",0,"0195022C"
"2893",158.19,"0195023C"
"2894",915.36,"0195024C"
"2895",183.26,"0195025C"
"2896",NA,"0195041C"
"2897",0,"0196001C"
"2898",130.85,"0196002C"
"2899",343.38,"0196003C"
"2900",102.87,"0196004C"
"2901",96.8,"0196005C"
"2902",343.89,"0196006C"
"2903",113.51,"0196007C"
"2904",97.11,"0196008C"
"2905",106.8,"0196009C"
"2906",336.24,"0196010C"
"2907",111.15,"0196011C"
"2908",105.04,"0196012C"
"2909",100.49,"0196014C"
"2910",106.8,"0196015C"
"2911",106.8,"0196016C"
"2912",0,"0196017C"
"2913",331.24,"0196018C"
"2914",100.73,"0196019C"
"2915",102.87,"0196020C"
"2916",272.73,"0196021C"
"2917",0,"0196022C"
"2918",422.04,"0196023C"
"2919",100.73,"0196024C"
"2920",0,"0196025C"
"2921",102.87,"0196026C"
"2922",NA,"0197001C"
"2923",NA,"0197002C"
"2924",NA,"0197003C"
"2925",54.76,"0197004C"
"2926",69.17,"0197005C"
"2927",85.44,"0197006C"
"2928",NA,"0197007C"
"2929",65.58,"0197008C"
"2930",NA,"0197009C"
"2931",0,"0197010C"
"2932",NA,"0197011C"
"2933",0,"0197012C"
"2934",0,"0197013C"
"2935",59.43,"0197014C"
"2936",65.58,"0197015C"
"2937",0,"0197016C"
"2938",0,"0199002C"
"2939",NA,"0200001C"
"2940",NA,"0200002C"
"2941",NA,"0200003C"
"2942",NA,"0200004C"
"2943",NA,"0200005C"
"2944",NA,"0200006C"
"2945",NA,"0200007C"
"2946",NA,"0200008C"
"2947",NA,"0200009C"
"2948",NA,"0200010C"
"2949",0,"0201001C"
"2950",94.82,"0201003C"
"2951",0,"0201004C"
"2952",247.28,"0201006C"
"2953",91.33,"0201008C"
"2954",0,"0201009C"
"2955",276.73,"0201010C"
"2956",89.43,"0201011C"
"2957",354.21,"0201012C"
"2958",0,"0201013C"
"2959",110,"0201014C"
"2960",341.17,"0201015C"
"2961",132.97,"0201016C"
"2962",103.75,"0201018C"
"2963",374.71,"0201019C"
"2964",123.07,"0201022C"
"2965",131.81,"0202001C"
"2966",200.61,"0202002C"
"2967",379.26,"0202003C"
"2968",0,"0202004C"
"2969",315.98,"0202005C"
"2970",0,"0202006C"
"2971",410.13,"0202007C"
"2972",400.3,"0202008C"
"2973",379.26,"0202009C"
"2974",365.31,"0202011C"
"2975",365.31,"0202012C"
"2976",0,"0202013C"
"2977",0,"0202014C"
"2978",366.49,"0202015C"
"2979",127.37,"0202016C"
"2980",366.49,"0202017C"
"2981",379.26,"0202018C"
"2982",670.69,"0204001C"
"2983",416.86,"0204003C"
"2984",351.48,"0204004C"
"2985",350.35,"0204005C"
"2986",0,"0204007C"
"2987",0,"0204008C"
"2988",278.26,"0204009C"
"2989",NA,"0204010C"
"2990",348.19,"0204011C"
"2991",334.31,"0204012C"
"2992",363.73,"0204013C"
"2993",1191.28,"0204014C"
"2994",0,"0204015C"
"2995",0,"0204016C"
"2996",0,"0204017C"
"2997",1563.45,"0204018C"
"2998",295.72,"0204019C"
"2999",1130.14,"0204020C"
"3000",449.01,"0204021C"
"3001",0,"0204022C"
"3002",1382.14,"0204023C"
"3003",1301.67,"0204024C"
"3004",NA,"0206001C"
"3005",NA,"0206002C"
"3006",NA,"0206003C"
"3007",NA,"0206004C"
"3008",NA,"0206005C"
"3009",NA,"0206006C"
"3010",284.57,"0206007C"
"3011",NA,"0206009C"
"3012",NA,"0206010C"
"3013",421.13,"0206011C"
"3014",281.45,"0206012C"
"3015",NA,"0206013C"
"3016",NA,"0206014C"
"3017",NA,"0206016C"
"3018",NA,"0206017C"
"3019",389.56,"0206018C"
"3020",NA,"0206019C"
"3021",NA,"0206020C"
"3022",0,"0206021C"
"3023",NA,"0206022C"
"3024",NA,"0206023C"
"3025",NA,"0206024C"
"3026",246.16,"0207001C"
"3027",263.52,"0207003C"
"3028",267.21,"0207004C"
"3029",NA,"0207005C"
"3030",271.62,"0207006C"
"3031",271.62,"0207008C"
"3032",0,"0207009C"
"3033",285.57,"0207010C"
"3034",0,"0207012C"
"3035",260.99,"0207013C"
"3036",277.39,"0207014C"
"3037",291.64,"0207016C"
"3038",252.2,"0207017C"
"3039",236.55,"0207018C"
"3040",NA,"0207019C"
"3041",204.61,"0207020C"
"3042",291.64,"0207021C"
"3043",231.63,"0207022C"
"3044",251.39,"0207023C"
"3045",285.57,"0207024C"
"3046",0,"0212001C"
"3047",0,"0212002C"
"3048",72.35,"0212004C"
"3049",80.09,"0212005C"
"3050",232.97,"0212006C"
"3051",214.66,"0212007C"
"3052",230.46,"0212008C"
"3053",264.65,"0212009C"
"3054",0,"0212010C"
"3055",81.52,"0212011C"
"3056",83.93,"0212012C"
"3057",82.88,"0212013C"
"3058",111.68,"0212014C"
"3059",0,"0212015C"
"3060",72.59,"0212016C"
"3061",107.57,"0212017C"
"3062",208.18,"0212018C"
"3063",0,"0212019C"
"3064",66.66,"0212021C"
"3065",89.83,"0212022C"
"3066",72.35,"0212023C"
"3067",70.85,"0212024C"
"3068",68.08,"0212025C"
"3069",318.24,"0213001C"
"3070",0,"0213002C"
"3071",0,"0213003C"
"3072",287.91,"0213004C"
"3073",0,"0213005C"
"3074",453.86,"0213006C"
"3075",NA,"0213007C"
"3076",324.44,"0213008C"
"3077",374.63,"0213009C"
"3078",294.98,"0213010C"
"3079",469.46,"0213012C"
"3080",287.91,"0213013C"
"3081",287.91,"0213014C"
"3082",361.9,"0213015C"
"3083",354.13,"0213016C"
"3084",494.29,"0213017C"
"3085",317.69,"0213018C"
"3086",NA,"0213019C"
"3087",334.01,"0213020C"
"3088",341.1,"0213021C"
"3089",276.67,"0213022C"
"3090",341.1,"0213023C"
"3091",341.1,"0213024C"
"3092",317.69,"0213025C"
"3093",78.59,"0214001C"
"3094",253.54,"0214002C"
"3095",1002.58,"0214003C"
"3096",293.75,"0214004C"
"3097",399.16,"0214005C"
"3098",920.44,"0214006C"
"3099",286.26,"0214007C"
"3100",460.91,"0214008C"
"3101",460.91,"0214009C"
"3102",0,"0214010C"
"3103",342.06,"0214011C"
"3104",419.67,"0214012C"
"3105",0,"0214013C"
"3106",299.99,"0214014C"
"3107",0,"0214015C"
"3108",253.21,"0214016C"
"3109",286.26,"0214017C"
"3110",341.19,"0214018C"
"3111",296.24,"0214019C"
"3112",238.26,"0214020C"
"3113",0,"0214021C"
"3114",285.34,"0214022C"
"3115",311.45,"0214023C"
"3116",901.3,"0214024C"
"3117",232.2,"0215001C"
"3118",0,"0215002C"
"3119",NA,"0215003C"
"3120",237.69,"0215004C"
"3121",0,"0215006C"
"3122",354.54,"0215009C"
"3123",228.38,"0215010C"
"3124",423.74,"0215011C"
"3125",219.01,"0215012C"
"3126",276.64,"0215013C"
"3127",1345.91,"0215014C"
"3128",0,"0215015C"
"3129",993.98,"0215016C"
"3130",344.12,"0215017C"
"3131",237.69,"0215019C"
"3132",232.75,"0215020C"
"3133",256.82,"0215021C"
"3134",993.98,"0215022C"
"3135",871,"0215023C"
"3136",437.38,"0215024C"
"3137",221.36,"0216001C"
"3138",716.3,"0216002C"
"3139",266.71,"0216003C"
"3140",699.2,"0216004C"
"3141",0,"0216005C"
"3142",200.61,"0216006C"
"3143",0,"0216007C"
"3144",229.81,"0216008C"
"3145",296.54,"0216009C"
"3146",0,"0216010C"
"3147",296.54,"0216011C"
"3148",222.07,"0216012C"
"3149",255.6,"0216013C"
"3150",307.07,"0216014C"
"3151",0,"0216015C"
"3152",350.77,"0216016C"
"3153",265.85,"0216017C"
"3154",0,"0216018C"
"3155",224.75,"0216019C"
"3156",0,"0216020C"
"3157",247.72,"0216021C"
"3158",292.98,"0216022C"
"3159",307.07,"0216023C"
"3160",0,"0216024C"
"3161",NA,"0219001C"
"3162",869.24,"0219002C"
"3163",887.7,"0219003C"
"3164",NA,"0219005C"
"3165",959.14,"0219006C"
"3166",NA,"0219007C"
"3167",NA,"0219008C"
"3168",NA,"0219010C"
"3169",959.14,"0219011C"
"3170",NA,"0219012C"
"3171",NA,"0219013C"
"3172",NA,"0219014C"
"3173",NA,"0219015C"
"3174",NA,"0219016C"
"3175",0,"0219018C"
"3176",NA,"0219019C"
"3177",NA,"0219021C"
"3178",NA,"0219023C"
"3179",817.92,"0219024C"
"3180",94.07,"0220001C"
"3181",133.7,"0220002C"
"3182",296.62,"0220003C"
"3183",230.83,"0220004C"
"3184",80.22,"0220005C"
"3185",94.07,"0220007C"
"3186",97.67,"0220008C"
"3187",80.22,"0220009C"
"3188",83.48,"0220011C"
"3189",230.83,"0220013C"
"3190",268.82,"0220014C"
"3191",80.22,"0220016C"
"3192",85.26,"0220020C"
"3193",284.59,"0220021C"
"3194",229.5,"0223001C"
"3195",253.24,"0223003C"
"3196",0,"0223004C"
"3197",NA,"0223005C"
"3198",NA,"0223006C"
"3199",NA,"0223007C"
"3200",NA,"0223008C"
"3201",253.24,"0223009C"
"3202",242.56,"0223010C"
"3203",220.54,"0223011C"
"3204",229.5,"0223012C"
"3205",NA,"0223013C"
"3206",0,"0223015C"
"3207",358.75,"0223017C"
"3208",235.13,"0223018C"
"3209",202.73,"0223019C"
"3210",229.5,"0223020C"
"3211",234.37,"0223021C"
"3212",0,"0223022C"
"3213",348.47,"0223023C"
"3214",190.76,"0223024C"
"3215",358.75,"0223025C"
"3216",NA,"0224001C"
"3217",134.35,"0224002C"
"3218",NA,"0224003C"
"3219",125.54,"0224004C"
"3220",NA,"0224005C"
"3221",NA,"0224006C"
"3222",NA,"0224007C"
"3223",101.82,"0224008C"
"3224",NA,"0224009C"
"3225",NA,"0224010C"
"3226",NA,"0224011C"
"3227",NA,"0224013C"
"3228",99.7,"0224014C"
"3229",NA,"0224015C"
"3230",184.28,"0227001C"
"3231",248.31,"0227002C"
"3232",248.31,"0227003C"
"3233",149.47,"0227004C"
"3234",149.47,"0227005C"
"3235",162.22,"0227006C"
"3236",NA,"0227007C"
"3237",140.32,"0227008C"
"3238",NA,"0227009C"
"3239",158.85,"0227010C"
"3240",NA,"0227011C"
"3241",179,"0227012C"
"3242",0,"0227013C"
"3243",149.47,"0227014C"
"3244",188.8,"0227015C"
"3245",272.71,"0227016C"
"3246",205.68,"0227017C"
"3247",175.28,"0227018C"
"3248",179,"0227019C"
"3249",NA,"0227020C"
"3250",253.58,"0227021C"
"3251",184.28,"0227022C"
"3252",175.28,"0227023C"
"3253",184.28,"0227024C"
"3254",162.22,"0227025C"
"3255",82.17,"0228001C"
"3256",NA,"0228002C"
"3257",NA,"0228003C"
"3258",98,"0228005C"
"3259",NA,"0228006C"
"3260",74.79,"0228007C"
"3261",NA,"0228008C"
"3262",NA,"0228009C"
"3263",NA,"0228010C"
"3264",62.02,"0228011C"
"3265",72.73,"0228012C"
"3266",NA,"0228014C"
"3267",78.34,"0228016C"
"3268",NA,"0228017C"
"3269",63.34,"0228018C"
"3270",63.34,"0228019C"
"3271",75.84,"0228020C"
"3272",74.28,"0228021C"
"3273",67.31,"0228022C"
"3274",69.88,"0228023C"
"3275",125.7,"0229001C"
"3276",121.07,"0229003C"
"3277",0,"0229004C"
"3278",118.56,"0229005C"
"3279",96.16,"0229006C"
"3280",98.2,"0229007C"
"3281",115.16,"0229008C"
"3282",0,"0229011C"
"3283",115.16,"0229012C"
"3284",98.2,"0229013C"
"3285",0,"0229014C"
"3286",96.16,"0229015C"
"3287",115.53,"0229016C"
"3288",0,"0229017C"
"3289",445.71,"0229018C"
"3290",125.7,"0229019C"
"3291",391.83,"0229020C"
"3292",405.48,"0229021C"
"3293",118.56,"0229022C"
"3294",138.05,"0229023C"
"3295",104.37,"0229024C"
"3296",214.84,"0231001C"
"3297",NA,"0231002C"
"3298",NA,"0231003C"
"3299",NA,"0231004C"
"3300",302.01,"0231005C"
"3301",236.75,"0231006C"
"3302",340.55,"0231007C"
"3303",284.85,"0231008C"
"3304",NA,"0231009C"
"3305",210.37,"0231010C"
"3306",259.36,"0231011C"
"3307",349.48,"0231012C"
"3308",340.56,"0231013C"
"3309",NA,"0231014C"
"3310",223.57,"0231015C"
"3311",214.84,"0231016C"
"3312",NA,"0231018C"
"3313",0,"0231019C"
"3314",NA,"0231020C"
"3315",246.25,"0231021C"
"3316",349.48,"0231022C"
"3317",274.99,"0231023C"
"3318",229.06,"0231024C"
"3319",NA,"0231025C"
"3320",291.85,"0231026C"
"3321",NA,"0239001C"
"3322",NA,"0239002C"
"3323",NA,"0239003C"
"3324",NA,"0239004C"
"3325",NA,"0239005C"
"3326",NA,"0239006C"
"3327",0,"0239007C"
"3328",179.47,"0239008C"
"3329",266.76,"0239009C"
"3330",NA,"0239010C"
"3331",NA,"0239011C"
"3332",265.9,"0239012C"
"3333",183.28,"0239013C"
"3334",NA,"0239014C"
