"","C245PW0","childid"
"238",0,"0020008C"
"239",NA,"0020009C"
"240",187.36,"0020010C"
"241",NA,"0020011C"
"242",NA,"0020012C"
"243",186.18,"0020013C"
"244",159.28,"0020014C"
"245",NA,"0020015C"
"246",0,"0020016C"
"247",245.65,"0020017C"
"248",157.5,"0020018C"
"249",258.27,"0020019C"
"250",223.2,"0020020C"
"251",NA,"0020021C"
"252",169.63,"0020022C"
"253",NA,"0020023C"
"254",169.32,"0020024C"
"255",211.26,"0021001C"
"256",199.7,"0021002C"
"257",0,"0022001C"
"258",135.11,"0022002C"
"259",161.8,"0022003C"
"260",0,"0022004C"
"261",152.24,"0022005C"
"262",0,"0022006C"
"263",166.57,"0022007C"
"264",0,"0022008C"
"265",229.95,"0022009C"
"266",690.94,"0022010C"
"267",665.52,"0022011C"
"268",166.57,"0022012C"
"269",146.64,"0022013C"
"270",147.11,"0022014C"
"271",0,"0022015C"
"272",146.64,"0022016C"
"273",167.98,"0022017C"
"274",162.33,"0022018C"
"275",193.02,"0022019C"
"276",186.81,"0022020C"
"277",651.68,"0022021C"
"278",0,"0022022C"
"279",202.43,"0022023C"
"280",138.43,"0022024C"
"281",0,"0022025C"
"282",124.45,"0023001C"
"283",0,"0023002C"
"284",443.3,"0023003C"
"285",547.84,"0023004C"
"286",148.31,"0023005C"
"287",100.09,"0023006C"
"288",100.07,"0023007C"
"289",499.53,"0023008C"
"290",0,"0023009C"
"291",417.13,"0023010C"
"292",115.72,"0023011C"
"293",97.67,"0023012C"
"294",0,"0023013C"
"295",499.53,"0023014C"
"296",97.67,"0023015C"
"297",103.56,"0023016C"
"298",139.54,"0023017C"
"299",126.88,"0023018C"
"300",120.14,"0023019C"
"301",97.67,"0023020C"
"302",114.27,"0023021C"
"303",148.31,"0023022C"
"304",0,"0023023C"
"305",396.03,"0023024C"
"306",0,"0023025C"
"307",432.09,"0023026C"
"308",0,"0024001C"
"309",72.44,"0024002C"
"310",0,"0024003C"
"311",162.63,"0024004C"
"312",143.66,"0024005C"
"313",145.33,"0024006C"
"314",79.06,"0024007C"
"315",172.84,"0024009C"
"316",0,"0024010C"
"317",0,"0024011C"
"318",0,"0024013C"
"319",166.08,"0024014C"
"320",154.44,"0024015C"
"321",78.8,"0024016C"
"322",0,"0024017C"
"323",81.81,"0024018C"
"324",NA,"0024019C"
"325",0,"0024020C"
"326",129.08,"0025001C"
"327",0,"0025002C"
"328",201.95,"0025003C"
"329",0,"0025004C"
"330",117.07,"0025005C"
"331",219.94,"0025006C"
"332",455.99,"0025007C"
"333",637.98,"0025009C"
"334",151.77,"0025011C"
"335",539.45,"0025012C"
"336",0,"0025013C"
"337",176.28,"0025014C"
"338",0,"0025015C"
"339",0,"0025016C"
"340",0,"0025017C"
"341",616.45,"0025018C"
"342",0,"0025019C"
"343",144.36,"0025020C"
"344",0,"0025021C"
"345",204.73,"0025022C"
"346",0,"0025023C"
"347",0,"0025024C"
"348",125.75,"0026001C"
"349",118.33,"0026002C"
"350",NA,"0026003C"
"351",NA,"0026004C"
"352",93.33,"0026005C"
"353",108.27,"0026006C"
"354",93.33,"0026007C"
"355",89.68,"0026008C"
"356",NA,"0026009C"
"357",118.33,"0026010C"
"358",89.68,"0026011C"
"359",NA,"0026012C"
"360",NA,"0026013C"
"361",95.31,"0026014C"
"362",108.27,"0026015C"
"363",54.6,"0028001C"
"364",49.64,"0028002C"
"365",48.61,"0028003C"
"366",57,"0028004C"
"367",0,"0028005C"
"368",49.64,"0028006C"
"369",48.61,"0028007C"
"370",61.2,"0028008C"
"371",49.64,"0028009C"
"372",50.69,"0028010C"
"373",57,"0028011C"
"374",51.54,"0028012C"
"375",49.64,"0028013C"
"376",58.21,"0028014C"
"377",0,"0029001C"
"378",176.15,"0029002C"
"379",160.18,"0029003C"
"380",150.23,"0029004C"
"381",NA,"0029005C"
"382",138.1,"0029006C"
"383",172.51,"0029007C"
"384",NA,"0029008C"
"385",156.34,"0029009C"
"386",NA,"0029010C"
"387",129.95,"0029012C"
"388",172.51,"0029013C"
"389",0,"0029014C"
"390",0,"0029015C"
"391",232.45,"0029016C"
"392",150.23,"0029020C"
"393",182.9,"0029021C"
